epoch:237 train_loss:0.008252643048763275 test_acc:0.7536799847065571 test_loss:0.01678132452070713
epoch:238 train_loss:0.006247226148843765 test_acc:0.7401070541005544 test_loss:0.010957615450024605
epoch:239 train_loss:0.006365376524627209 test_acc:0.755113744981839 test_loss:0.035035960376262665
epoch:240 train_loss:0.007404410745948553 test_acc:0.7634295545784745 test_loss:0.025169996544718742
epoch:241 train_loss:0.005811770912259817 test_acc:0.7491875358440069 test_loss:0.015340174548327923
epoch:242 train_loss:0.005211389623582363 test_acc:0.7539667367616134 test_loss:0.013214192353188992
epoch:243 train_loss:0.008239652961492538 test_acc:0.7348499330911872 test_loss:0.04648273438215256
epoch:244 train_loss:0.00824144296348095 test_acc:0.7372395335499904 test_loss:0.02812260016798973
epoch:245 train_loss:0.00803065299987793 test_acc:0.7501433760275282 test_loss:0.011215800419449806
epoch:246 train_loss:0.005632552318274975 test_acc:0.7563563372204167 test_loss:0.037706222385168076
epoch:247 train_loss:0.009248683229088783 test_acc:0.7504301280825846 test_loss:0.008556142449378967
epoch:248 train_loss:0.007463616784662008 test_acc:0.7486140317338941 test_loss:0.04343261942267418
epoch:249 train_loss:0.004994358867406845 test_acc:0.7480405276237813 test_loss:0.03596705198287964
epoch:250 train_loss:0.007037397474050522 test_acc:0.7498566239724718 test_loss:0.03154521435499191
epoch:251 train_loss:0.003566364524886012 test_acc:0.7468935194035558 test_loss:0.021334094926714897
epoch:252 train_loss:0.008482852019369602 test_acc:0.7474670235136686 test_loss:0.024940213188529015
epoch:253 train_loss:0.010279841721057892 test_acc:0.7573121774039381 test_loss:0.05263613536953926
epoch:254 train_loss:0.005819916725158691 test_acc:0.7533932326515007 test_loss:0.02859698049724102
epoch:255 train_loss:0.009848406538367271 test_acc:0.7573121774039381 test_loss:0.024533824995160103
epoch:256 train_loss:0.00900330301374197 test_acc:0.7607532020646148 test_loss:0.04598839953541756
epoch:257 train_loss:0.008723354898393154 test_acc:0.7602752819728541 test_loss:0.029925933107733727
epoch:258 train_loss:0.009445913136005402 test_acc:0.7606576180462626 test_loss:0.038189638406038284
epoch:259 train_loss:0.007880132645368576 test_acc:0.7706939399732364 test_loss:0.01617869921028614
epoch:260 train_loss:0.007847530767321587 test_acc:0.7614222901930797 test_loss:0.019339669495821
epoch:261 train_loss:0.007669881917536259 test_acc:0.7599885299177978 test_loss:0.012179823592305183
epoch:262 train_loss:0.006070882081985474 test_acc:0.7586503536608679 test_loss:0.04173608496785164
epoch:263 train_loss:0.010388167575001717 test_acc:0.744981839036513 test_loss:0.007266693748533726
epoch:264 train_loss:0.004681691527366638 test_acc:0.7642898107436437 test_loss:0.016467902809381485
epoch:265 train_loss:0.009695000946521759 test_acc:0.7498566239724718 test_loss:0.023210132494568825
epoch:266 train_loss:0.010057269595563412 test_acc:0.7472758554769643 test_loss:0.022428255528211594
epoch:267 train_loss:0.007534427102655172 test_acc:0.7730835404320398 test_loss:0.023396575823426247
epoch:268 train_loss:0.008398975245654583 test_acc:0.763142802523418 test_loss:0.009031327441334724
epoch:269 train_loss:0.0069626374170184135 test_acc:0.7625692984133053 test_loss:0.037470925599336624
epoch:270 train_loss:0.0077974009327590466 test_acc:0.7677308354043204 test_loss:0.008345715701580048
epoch:271 train_loss:0.006794988643378019 test_acc:0.7602752819728541 test_loss:0.020319128409028053
epoch:272 train_loss:0.005139527376741171 test_acc:0.7626648824316574 test_loss:0.03105964884161949
epoch:273 train_loss:0.010507484897971153 test_acc:0.7743261326706175 test_loss:0.005185090936720371
epoch:274 train_loss:0.010762589052319527 test_acc:0.7658191550372778 test_loss:0.007088327780365944
epoch:275 train_loss:0.005949731916189194 test_acc:0.7730835404320398 test_loss:0.024817368015646935
epoch:276 train_loss:0.005782877095043659 test_acc:0.7782450774230548 test_loss:0.01234692707657814
epoch:277 train_loss:0.0057547553442418575 test_acc:0.765245650927165 test_loss:0.017267385497689247
epoch:278 train_loss:0.006907643284648657 test_acc:0.7798700057350411 test_loss:0.02922518365085125
epoch:279 train_loss:0.004275722894817591 test_acc:0.7712674440833492 test_loss:0.05718233063817024
epoch:280 train_loss:0.004993377719074488 test_acc:0.7728923723953355 test_loss:0.009228507988154888
epoch:281 train_loss:0.0077531966380774975 test_acc:0.776142229019308 test_loss:0.009935717098414898
epoch:282 train_loss:0.005296561401337385 test_acc:0.7772892372395336 test_loss:0.01368334237486124
epoch:283 train_loss:0.008575988002121449 test_acc:0.7763333970560122 test_loss:0.00626671826466918
epoch:284 train_loss:0.010870522819459438 test_acc:0.7788185815331676 test_loss:0.01677999645471573
epoch:285 train_loss:0.0063772862777113914 test_acc:0.7768113171477729 test_loss:0.019028285518288612
epoch:286 train_loss:0.00644483370706439 test_acc:0.7645765627987 test_loss:0.016960710287094116
epoch:287 train_loss:0.005228940397500992 test_acc:0.7655324029822214 test_loss:0.04228430613875389
epoch:288 train_loss:0.005654418375343084 test_acc:0.7701204358631237 test_loss:0.01316890586167574
epoch:289 train_loss:0.0026649474166333675 test_acc:0.7837889504874785 test_loss:0.004605303052812815
epoch:290 train_loss:0.012751452624797821 test_acc:0.7657235710189256 test_loss:0.01696629263460636
